平台,帖子ID,发布时间,负责人,项目,一级品线,二级品线,主题,形式,优质,链接,标题,缺失项
tk,7645384736902221086,2026-05-30,周紫月,,穿戴甲,UV穿戴甲,开箱;口播,视频,,https://www.tiktok.com/@its__sheyyla/video/7645384736902221086,"The most beautiful bridal nail set @BeetlesGelPolish 🤩

#beetlesgelpolish #tiktokshopfind #Nailtok #bridalnails #beetlesgelpolishkit ",项目缺失
yt,VoUtpDDqaPI,2026-05-25,罗婧,,功能胶,晕染胶,做款,视频,,https://www.youtube.com/watch?v=VoUtpDDqaPI,Tortoise shell nails 🤎🖤,项目缺失
fb,1438929708278980,2026-05-24,黄莉莎,,款式创作,魔镜粉,做款,视频,,https://www.facebook.com/reel/1899015007431053,"Today let see French on Short nails
• @beetlesgelpolish French Brush
• @beetlesgelpolish Mirror Top Coat
• @beetlesgelpolish Neutral Chrome

_Nails by Jeana_

#beetlesgelpolish #tobeautybar #beetlesgel #frenchnails",项目缺失
ins,DYs1RqeRkUH,2026-05-24,黄嘉丽,,彩胶,纯色,做款,视频,1,https://www.instagram.com/p/DYs1RqeRkUH/,cutest nail day evrrrrr,项目缺失
ins,DYs2JUCM9H4,2026-05-24,黄嘉丽,,彩胶,纯色,做款,视频,,https://www.instagram.com/p/DYs2JUCM9H4/,work with me at four ☁️#pressonnails #softnails #pressonnail,项目缺失
ins,DYsCLucAFuy,2026-05-24,黄莉莎,,款式创作,魔镜粉,做款,视频,,https://www.instagram.com/p/DYsCLucAFuy/,"Today let do French on Short nails
• @beetlesgelpolish French Brush
• @beetlesgelpolish Mirror Top Coat
• @beetlesgelpolish Neutral Chrome

_Nails by Jeana_

#beetlesgelpolish #tobeautybar #beetlesgel #frenchnails",项目缺失
ins,DYsOPZqxS_F,2026-05-24,何嘉怡,,功能胶,晕染胶,做款;成品展示,视频,,https://www.instagram.com/p/DYsOPZqxS_F/,"First desi nail set complete ✅

#nails #beauty #texas #desi #fashion",项目缺失
ins,DYsj6UoSypN,2026-05-24,林盈盈,,彩胶初学者套装,预构建甲片套组,做款,视频,,https://www.instagram.com/p/DYsj6UoSypN/,"My niece loves her nails !! 
.
Want to see more content like this ?
Follow @glambyjalina
.
.
#beettlegelpolish #nails #nailday #az #naildesigns",项目缺失
ins,DYtOfEjA_55,2026-05-24,何嘉怡,,彩胶,纯色,做款;成品展示,视频,,https://www.instagram.com/p/DYtOfEjA_55/,"Mis Uñas de verano, utilizando los geles de @beetlesgelpolish recuerden utilizar mi código de descuento para conseguir los productos en Amazon código: KARYNAILS10.  https://www.amazon.com/dp/B0G8H7GVX6?maas=maas_adg_0967EEFE6B9D7509CF704AC74913E0EF_afap_abs&ref_=aa_maas&tag=maas #nails #uñas #ongles #colorsnails #veranonails",项目缺失
tk,7643126147932294407,2026-05-24,黄莉莎,,款式创作,魔镜粉,做款,视频,,https://www.tiktok.com/@tobeautybar/video/7643126147932294407,"French of Short nails✨
•White French Brush•Mirror Top Coat & Neutral Chrome from @BeetlesGelPolish 

#beetles #beetlesgelpolish #beetlesbuildergel #tobeautybar ",项目缺失
tk,7643132544015256845,2026-05-24,林盈盈,,假指甲,预构建甲片套组,开箱,视频,,https://www.tiktok.com/@natalies.naills/video/7643132544015256845,haul!!@BeetlesGelPolish #beetlesgelpolish #beetlesdealbox #haul #nails #fyp ,项目缺失
tk,7643142940726005023,2026-05-24,何嘉怡,,款式创作,拍拍胶套组,开箱,视频,,https://www.tiktok.com/@luxeloopl/video/7643142940726005023,"POV: you finally found a pat gel kit that actually makes nail art easier 😍✨ Testing the Beetles 6 Pat Gel Kit and I’m obsessed with the textures, colors, and endless design possibilities 💅🏼 

Perfect for chrome, aura nails, blooming effects, 3D details, and trendy nail art looks. Which shade would you use first? 👀

#beetlesgelpolish #patgel #diynails #nailinspo #nailtutorial

@BeetlesGelPolish 

Beetles pat gel kit, Beetles nail art gel, pat gel nail tutorial, textured nail gel, nail art ideas 2026, beginner nail art products, trendy gel nail designs, aura nails tutorial, chrome nail art, 3D nail art gel, nail tech products, DIY gel nails, press on nail artist, nail school content, Beetles gel review",项目缺失
tk,7643146936861658382,2026-05-24,高咏欣,,穿戴甲,穿戴甲款式,做款,视频,,https://www.tiktok.com/@dashaperkins/video/7643146936861658382,"Let’s do these press ons💅🏾 Using @BeetlesGelPolish Milky White Collection🩵

SN: Y'all have to excuse me, Michael has been the only artist I've wanted to listen too since the movie😂🩷 
#pressons #pressonnails #pressonnailstutorial #diynails #beetlesgelpolish ",项目缺失
tk,7643152018646830366,2026-05-24,何嘉怡,,款式创作,拍拍胶套组,开箱;口播,视频,,https://www.tiktok.com/@evelynsoltero/video/7643152018646830366,Can’t wait to use this on a nail set 🤗@BeetlesGelPolish ,项目缺失
tk,7643153122914798879,2026-05-24,何嘉怡,,功能胶,晕染胶,做款;成品展示,视频,,https://www.tiktok.com/@randa.rosa/video/7643153122914798879,"First desi nail set complete ✅

#nails #beauty #texas #desi #fashion ",项目缺失
tk,7643203384186621197,2026-05-24,林盈盈,,彩胶初学者套装,预构建甲片套组,做款,视频,,https://www.tiktok.com/@glambyjalina/video/7643203384186621197,"The cutest client ever! 
.
@BeetlesGelPolish 
#beetlegelpolish #nailday #fyp #shortnails #summernail ",项目缺失
tk,7643205647273676063,2026-05-24,罗惠仪,,配件,美甲灯,开箱,视频,,https://www.tiktok.com/@bold.you/video/7643205647273676063,I love this so much! I love that you don’t have to have cords everywhere as well! After you are done with you just slide it to the side and it’s adorable!! #beetles #naillamp #nailart #nailtech #nailtechmusthave ,项目缺失
tk,7643217491904285965,2026-05-24,马明慧,,配件,美甲灯,做款,视频,,https://www.tiktok.com/@keshas.klawset/video/7643217491904285965,"Watch Me Work | Custom Set

#pressonnailset #pressonnailbusiness #pressonnailstutorial ",项目缺失
tk,7643240130479705375,2026-05-24,罗婧,,彩胶,纯色,成品展示,视频,,https://www.tiktok.com/@gracedoesnails/video/7643240130479705375,basic but so so cute!!! 💙🫐🪩 #gracedoesnails #viral #fyp #nailinspo #nailtransition @Aprés Nail Professional @BeetlesGelPolish @UNAGELLA @MelodySusie @Modelones @Maniology @OPI ,项目缺失
tk,7643240204697881870,2026-05-24,李伊芸,,构建美甲,透色,开箱;做款;口播,视频,1,https://www.tiktok.com/@skibidylily/video/7643240204697881870,"i love summer nails!! use Beetles code: SKIBIDYLILYY (with 10%off, avail until 7.30) #BeetlesSummerVoyage  #Beetlesflatx #Beetlesgelpolish",项目缺失
tk,7643240881968925966,2026-05-24,黄嘉丽,,彩胶,纯色,做款,视频,1,https://www.tiktok.com/@llolfashiondump/video/7643240881968925966,nail day🩷,项目缺失
tk,7643241131723001109,2026-05-24,黄嘉丽,,彩胶,纯色,做款,视频,,https://www.tiktok.com/@littlebrushnails/video/7643241131723001109,"work with me at four ☁️
#pressonnails #nailsoftiktok ",项目缺失
